"Town/County","FIPS","Year","NAICS Code","Industry Name","Rank","Measure Type","Variable","Value"
"Ansonia","0900901220",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",757.67
"Ansonia","0900901220",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",26351.8
"Ansonia","0900901220",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",43
"Ansonia","0900901220",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",3371.25
"Ansonia","0900901220",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",38889.7
"Ansonia","0900901220",2014,"","Total - All Industries",-1,"Number","Number of Employers",307
"Ansonia","0900901220",2014,"","Total Government",-1,"Number","Annual Average Employment",734.42
"Ansonia","0900901220",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",50054.5
"Ansonia","0900901220",2014,"","Total Government",-1,"Number","Number of Employers",19
"Ansonia","0900901220",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",608.92
"Ansonia","0900901220",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",47591.1
"Ansonia","0900901220",2014,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Ansonia","0900901220",2014,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",442.58
"Ansonia","0900901220",2014,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",46079.5
"Ansonia","0900901220",2014,"62","Health Care and Social Assistance",2,"Number","Number of Employers",35
"Ansonia","0900901220",2014,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",402.5
"Ansonia","0900901220",2014,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",18339.2
"Ansonia","0900901220",2014,"72","Accommodation and Food Services",3,"Number","Number of Employers",26
"Ansonia","0900901220",2015,"23","Construction",-1,"Number","Annual Average Employment",115.08
"Ansonia","0900901220",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",49602.1
"Ansonia","0900901220",2015,"23","Construction",-1,"Number","Number of Employers",32
"Ansonia","0900901220",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",330.75
"Ansonia","0900901220",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",60541.2
"Ansonia","0900901220",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",20
"Ansonia","0900901220",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",754.33
"Ansonia","0900901220",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",27309.7
"Ansonia","0900901220",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",44
"Ansonia","0900901220",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",3399.08
"Ansonia","0900901220",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",39406.1
"Ansonia","0900901220",2015,"","Total - All Industries",-1,"Number","Number of Employers",330
"Ansonia","0900901220",2015,"","Total Government",-1,"Number","Annual Average Employment",721.08
"Ansonia","0900901220",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",52092.6
"Ansonia","0900901220",2015,"","Total Government",-1,"Number","Number of Employers",19
"Ansonia","0900901220",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",591.08
"Ansonia","0900901220",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",49445.9
"Ansonia","0900901220",2015,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Ansonia","0900901220",2015,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",469.75
"Ansonia","0900901220",2015,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",44150
"Ansonia","0900901220",2015,"62","Health Care and Social Assistance",2,"Number","Number of Employers",35
"Ansonia","0900901220",2015,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",376.5
"Ansonia","0900901220",2015,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",19957.5
"Ansonia","0900901220",2015,"72","Accommodation and Food Services",3,"Number","Number of Employers",28
"Ashford","0901501430",2014,"23","Construction",-1,"Number","Annual Average Employment",29.75
"Ashford","0901501430",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",37754.9
"Ashford","0901501430",2014,"23","Construction",-1,"Number","Number of Employers",8
"Ashford","0901501430",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",32.08
"Ashford","0901501430",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",41640
"Ashford","0901501430",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",5
"Ashford","0901501430",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",40.67
"Ashford","0901501430",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",40729.4
"Ashford","0901501430",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",6
"Ashford","0901501430",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",570
"Ashford","0901501430",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",35680.3
"Ashford","0901501430",2014,"","Total - All Industries",-1,"Number","Number of Employers",80
"Ashford","0901501430",2014,"","Total Government",-1,"Number","Annual Average Employment",161.67
"Ashford","0901501430",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",39616.5
"Ashford","0901501430",2014,"","Total Government",-1,"Number","Number of Employers",13
"Ashford","0901501430",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",152.5
"Ashford","0901501430",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",38703
"Ashford","0901501430",2014,"","Local/Municipal Government",1,"Number","Number of Employers",11
"Ashford","0901501430",2014,"56","Administrative and Waste Services",2,"Number","Annual Average Employment",48.17
"Ashford","0901501430",2014,"56","Administrative and Waste Services",2,"US Dollars","Annual Average Wage",15203.1
"Ashford","0901501430",2014,"56","Administrative and Waste Services",2,"Number","Number of Employers",8
"Ashford","0901501430",2014,"81","Other Services (except Public Administration)",3,"Number","Annual Average Employment",36.42
"Ashford","0901501430",2014,"81","Other Services (except Public Administration)",3,"US Dollars","Annual Average Wage",12572.8
"Ashford","0901501430",2014,"81","Other Services (except Public Administration)",3,"Number","Number of Employers",11
"Ashford","0901501430",2015,"23","Construction",-1,"Number","Annual Average Employment",36.75
"Ashford","0901501430",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",42123.8
"Ashford","0901501430",2015,"23","Construction",-1,"Number","Number of Employers",11
"Ashford","0901501430",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",27.25
"Ashford","0901501430",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",39727.7
"Ashford","0901501430",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",5
"Ashford","0901501430",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",44.83
"Ashford","0901501430",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",32544.7
"Ashford","0901501430",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",7
"Ashford","0901501430",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",558.42
"Ashford","0901501430",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",36538.1
"Ashford","0901501430",2015,"","Total - All Industries",-1,"Number","Number of Employers",85
"Ashford","0901501430",2015,"","Total Government",-1,"Number","Annual Average Employment",158.92
"Ashford","0901501430",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",42469.6
"Ashford","0901501430",2015,"","Total Government",-1,"Number","Number of Employers",13
"Ashford","0901501430",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",149.92
"Ashford","0901501430",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",41769.7
"Ashford","0901501430",2015,"","Local/Municipal Government",1,"Number","Number of Employers",11
"Ashford","0901501430",2015,"81","Other Services (except Public Administration)",2,"Number","Annual Average Employment",34.83
"Ashford","0901501430",2015,"81","Other Services (except Public Administration)",2,"US Dollars","Annual Average Wage",13297.6
"Ashford","0901501430",2015,"81","Other Services (except Public Administration)",2,"Number","Number of Employers",11
"Ashford","0901501430",2015,"54","Professional, Scientific, and Technical Services",3,"Number","Annual Average Employment",16
"Ashford","0901501430",2015,"54","Professional, Scientific, and Technical Services",3,"US Dollars","Annual Average Wage",39391.8
"Ashford","0901501430",2015,"54","Professional, Scientific, and Technical Services",3,"Number","Number of Employers",7
"Avon","0900302060",2014,"23","Construction",-1,"Number","Annual Average Employment",131.83
"Avon","0900302060",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",71911.9
"Avon","0900302060",2014,"23","Construction",-1,"Number","Number of Employers",25
"Avon","0900302060",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",718.25
"Avon","0900302060",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",71523.6
"Avon","0900302060",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",14
"Avon","0900302060",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",1086.58
"Avon","0900302060",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",25111.4
"Avon","0900302060",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",87
"Avon","0900302060",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",8013.75
"Avon","0900302060",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",47760.9
"Avon","0900302060",2014,"","Total - All Industries",-1,"Number","Number of Employers",749
"Avon","0900302060",2014,"","Total Government",-1,"Number","Annual Average Employment",790.67
"Avon","0900302060",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",59327.1
"Avon","0900302060",2014,"","Total Government",-1,"Number","Number of Employers",17
"Avon","0900302060",2014,"62","Health Care and Social Assistance",1,"Number","Annual Average Employment",1924.92
"Avon","0900302060",2014,"62","Health Care and Social Assistance",1,"US Dollars","Annual Average Wage",38152.1
"Avon","0900302060",2014,"62","Health Care and Social Assistance",1,"Number","Number of Employers",118
"Avon","0900302060",2014,"","Local/Municipal Government",2,"Number","Annual Average Employment",745.75
"Avon","0900302060",2014,"","Local/Municipal Government",2,"US Dollars","Annual Average Wage",59341.2
"Avon","0900302060",2014,"","Local/Municipal Government",2,"Number","Number of Employers",14
"Avon","0900302060",2014,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",673.33
"Avon","0900302060",2014,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",18751.2
"Avon","0900302060",2014,"72","Accommodation and Food Services",3,"Number","Number of Employers",41
"Avon","0900302060",2015,"23","Construction",-1,"Number","Annual Average Employment",133.17
"Avon","0900302060",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",74453.8
"Avon","0900302060",2015,"23","Construction",-1,"Number","Number of Employers",25
"Avon","0900302060",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",738.17
"Avon","0900302060",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",71091.1
"Avon","0900302060",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",13
"Avon","0900302060",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",1074.08
"Avon","0900302060",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",26395.3
"Avon","0900302060",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",92
"Avon","0900302060",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",8271.08
"Avon","0900302060",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",48544.3
"Avon","0900302060",2015,"","Total - All Industries",-1,"Number","Number of Employers",766
"Avon","0900302060",2015,"","Total Government",-1,"Number","Annual Average Employment",769.67
"Avon","0900302060",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",61810.7
"Avon","0900302060",2015,"","Total Government",-1,"Number","Number of Employers",17
"Avon","0900302060",2015,"62","Health Care and Social Assistance",1,"Number","Annual Average Employment",1990.17
"Avon","0900302060",2015,"62","Health Care and Social Assistance",1,"US Dollars","Annual Average Wage",37111.1
"Avon","0900302060",2015,"62","Health Care and Social Assistance",1,"Number","Number of Employers",116
"Avon","0900302060",2015,"","Local/Municipal Government",2,"Number","Annual Average Employment",721.58
"Avon","0900302060",2015,"","Local/Municipal Government",2,"US Dollars","Annual Average Wage",61987.5
"Avon","0900302060",2015,"","Local/Municipal Government",2,"Number","Number of Employers",14
"Avon","0900302060",2015,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",658.17
"Avon","0900302060",2015,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",19634.8
"Avon","0900302060",2015,"72","Accommodation and Food Services",3,"Number","Number of Employers",43
"Barkhamsted","0900502760",2014,"23","Construction",-1,"Number","Annual Average Employment",28.58
"Barkhamsted","0900502760",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",45499.7
"Barkhamsted","0900502760",2014,"23","Construction",-1,"Number","Number of Employers",9
"Barkhamsted","0900502760",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",132.83
"Barkhamsted","0900502760",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",60708.6
"Barkhamsted","0900502760",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",6
"Barkhamsted","0900502760",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",99.17
"Barkhamsted","0900502760",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",33347
"Barkhamsted","0900502760",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",9
"Barkhamsted","0900502760",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",573.92
"Barkhamsted","0900502760",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",44110.9
"Barkhamsted","0900502760",2014,"","Total - All Industries",-1,"Number","Number of Employers",81
"Barkhamsted","0900502760",2014,"","Total Government",-1,"Number","Annual Average Employment",130.5
"Barkhamsted","0900502760",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",55181.6
"Barkhamsted","0900502760",2014,"","Total Government",-1,"Number","Number of Employers",11
"Barkhamsted","0900502760",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",114.5
"Barkhamsted","0900502760",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",56099
"Barkhamsted","0900502760",2014,"","Local/Municipal Government",1,"Number","Number of Employers",8
"Barkhamsted","0900502760",2014,"72","Accommodation and Food Services",2,"Number","Annual Average Employment",62.75
"Barkhamsted","0900502760",2014,"72","Accommodation and Food Services",2,"US Dollars","Annual Average Wage",11472.4
"Barkhamsted","0900502760",2014,"72","Accommodation and Food Services",2,"Number","Number of Employers",7
"Barkhamsted","0900502760",2014,"54","Professional, Scientific, and Technical Services",3,"Number","Annual Average Employment",24.17
"Barkhamsted","0900502760",2014,"54","Professional, Scientific, and Technical Services",3,"US Dollars","Annual Average Wage",47215.2
"Barkhamsted","0900502760",2014,"54","Professional, Scientific, and Technical Services",3,"Number","Number of Employers",6
"Barkhamsted","0900502760",2015,"23","Construction",-1,"Number","Annual Average Employment",25.5
"Barkhamsted","0900502760",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",41726.9
"Barkhamsted","0900502760",2015,"23","Construction",-1,"Number","Number of Employers",10
"Barkhamsted","0900502760",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",129.83
"Barkhamsted","0900502760",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",63717.5
"Barkhamsted","0900502760",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",6
"Barkhamsted","0900502760",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",94.58
"Barkhamsted","0900502760",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",34913.4
"Barkhamsted","0900502760",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",10
"Barkhamsted","0900502760",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",554.67
"Barkhamsted","0900502760",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",45993.7
"Barkhamsted","0900502760",2015,"","Total - All Industries",-1,"Number","Number of Employers",89
"Barkhamsted","0900502760",2015,"","Total Government",-1,"Number","Annual Average Employment",129.33
"Barkhamsted","0900502760",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",56706
"Barkhamsted","0900502760",2015,"","Total Government",-1,"Number","Number of Employers",11
"Barkhamsted","0900502760",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",112.67
"Barkhamsted","0900502760",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",57568.2
"Barkhamsted","0900502760",2015,"","Local/Municipal Government",1,"Number","Number of Employers",8
"Barkhamsted","0900502760",2015,"72","Accommodation and Food Services",2,"Number","Annual Average Employment",58.83
"Barkhamsted","0900502760",2015,"72","Accommodation and Food Services",2,"US Dollars","Annual Average Wage",11959.4
"Barkhamsted","0900502760",2015,"72","Accommodation and Food Services",2,"Number","Number of Employers",7
"Barkhamsted","0900502760",2015,"56","Administrative and Waste Services",3,"Number","Annual Average Employment",25.08
"Barkhamsted","0900502760",2015,"56","Administrative and Waste Services",3,"US Dollars","Annual Average Wage",28742.4
"Barkhamsted","0900502760",2015,"56","Administrative and Waste Services",3,"Number","Number of Employers",7
"Beacon Falls","0900903250",2014,"23","Construction",-1,"Number","Annual Average Employment",169.25
"Beacon Falls","0900903250",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",44678.4
"Beacon Falls","0900903250",2014,"23","Construction",-1,"Number","Number of Employers",22
"Beacon Falls","0900903250",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",123.42
"Beacon Falls","0900903250",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",48828.3
"Beacon Falls","0900903250",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",12
"Beacon Falls","0900903250",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",19.75
"Beacon Falls","0900903250",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",22002.4
"Beacon Falls","0900903250",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",7
"Beacon Falls","0900903250",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",867.25
"Beacon Falls","0900903250",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",52607.5
"Beacon Falls","0900903250",2014,"","Total - All Industries",-1,"Number","Number of Employers",116
"Beacon Falls","0900903250",2014,"","Total Government",-1,"Number","Annual Average Employment",271.83
"Beacon Falls","0900903250",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",50838.6
"Beacon Falls","0900903250",2014,"","Total Government",-1,"Number","Number of Employers",17
"Beacon Falls","0900903250",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",233.92
"Beacon Falls","0900903250",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",49563.7
"Beacon Falls","0900903250",2014,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Beacon Falls","0900903250",2014,"42","Wholesale Trade",2,"Number","Annual Average Employment",170.17
"Beacon Falls","0900903250",2014,"42","Wholesale Trade",2,"US Dollars","Annual Average Wage",77434.7
"Beacon Falls","0900903250",2014,"42","Wholesale Trade",2,"Number","Number of Employers",19
"Beacon Falls","0900903250",2014,"","State Government",3,"Number","Annual Average Employment",30.5
"Beacon Falls","0900903250",2014,"","State Government",3,"US Dollars","Annual Average Wage",56668.7
"Beacon Falls","0900903250",2014,"","State Government",3,"Number","Number of Employers",2
"Beacon Falls","0900903250",2015,"23","Construction",-1,"Number","Annual Average Employment",179.42
"Beacon Falls","0900903250",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",49477.3
"Beacon Falls","0900903250",2015,"23","Construction",-1,"Number","Number of Employers",22
"Beacon Falls","0900903250",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",134.08
"Beacon Falls","0900903250",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",51372.1
"Beacon Falls","0900903250",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",14
"Beacon Falls","0900903250",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",19.17
"Beacon Falls","0900903250",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",25002.4
"Beacon Falls","0900903250",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",8
"Beacon Falls","0900903250",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",912.08
"Beacon Falls","0900903250",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",56344.3
"Beacon Falls","0900903250",2015,"","Total - All Industries",-1,"Number","Number of Employers",129
"Beacon Falls","0900903250",2015,"","Total Government",-1,"Number","Annual Average Employment",277.58
"Beacon Falls","0900903250",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",52271.8
"Beacon Falls","0900903250",2015,"","Total Government",-1,"Number","Number of Employers",17
"Beacon Falls","0900903250",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",239.42
"Beacon Falls","0900903250",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",50721.5
"Beacon Falls","0900903250",2015,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Beacon Falls","0900903250",2015,"42","Wholesale Trade",2,"Number","Annual Average Employment",171.33
"Beacon Falls","0900903250",2015,"42","Wholesale Trade",2,"US Dollars","Annual Average Wage",89815
"Beacon Falls","0900903250",2015,"42","Wholesale Trade",2,"Number","Number of Employers",22
"Beacon Falls","0900903250",2015,"","State Government",3,"Number","Annual Average Employment",30.17
"Beacon Falls","0900903250",2015,"","State Government",3,"US Dollars","Annual Average Wage",60366.3
"Beacon Falls","0900903250",2015,"","State Government",3,"Number","Number of Employers",2
"Berlin","0900304300",2014,"23","Construction",-1,"Number","Annual Average Employment",688.67
"Berlin","0900304300",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",69044.5
"Berlin","0900304300",2014,"23","Construction",-1,"Number","Number of Employers",74
"Berlin","0900304300",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",2082.42
"Berlin","0900304300",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",66681.6
"Berlin","0900304300",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",89
"Berlin","0900304300",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",1412.83
"Berlin","0900304300",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",29279.5
"Berlin","0900304300",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",74
"Berlin","0900304300",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",11535.9
"Berlin","0900304300",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",57767.7
"Berlin","0900304300",2014,"","Total - All Industries",-1,"Number","Number of Employers",726
"Berlin","0900304300",2014,"","Total Government",-1,"Number","Annual Average Employment",863.25
"Berlin","0900304300",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",53051.1
"Berlin","0900304300",2014,"","Total Government",-1,"Number","Number of Employers",21
"Berlin","0900304300",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",839.42
"Berlin","0900304300",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",52991
"Berlin","0900304300",2014,"","Local/Municipal Government",1,"Number","Number of Employers",18
