"Town/County","FIPS","Year","NAICS Code","Industry Name","Rank","Measure Type","Variable","Value"
"Andover","0901301080",2016,"44-45","Retail Trade",-1,"Number","Number of Employers",3
"Andover","0901301080",2016,"","Total - All Industries",-1,"Number","Annual Average Employment",357
"Andover","0901301080",2016,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",34368.63
"Andover","0901301080",2016,"","Total - All Industries",-1,"Number","Number of Employers",52
"Andover","0901301080",2016,"","Total Government",-1,"Number","Annual Average Employment",81.75
"Andover","0901301080",2016,"","Total Government",-1,"US Dollars","Annual Average Wage",42341.16
"Andover","0901301080",2016,"","Total Government",-1,"Number","Number of Employers",4
"Andover","0901301080",2016,"","Local/Municipal Government",1,"Number","Annual Average Employment",79.75
"Andover","0901301080",2016,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",41822.51
"Andover","0901301080",2016,"","Local/Municipal Government",1,"Number","Number of Employers",3
"Andover","0901301080",2016,"81","Other Services (except Public Administration)",2,"Number","Annual Average Employment",19.33
"Andover","0901301080",2016,"81","Other Services (except Public Administration)",2,"US Dollars","Annual Average Wage",22358.64
"Andover","0901301080",2016,"81","Other Services (except Public Administration)",2,"Number","Number of Employers",7
"Andover","0901301080",2016,"56","Administrative and Waste Services",3,"Number","Annual Average Employment",16.92
"Andover","0901301080",2016,"56","Administrative and Waste Services",3,"US Dollars","Annual Average Wage",30068.33
"Andover","0901301080",2016,"56","Administrative and Waste Services",3,"Number","Number of Employers",5
"Andover","0901301080",2017,"23","Construction",-1,"Number","Annual Average Employment",38.83
"Andover","0901301080",2017,"23","Construction",-1,"US Dollars","Annual Average Wage",45854.63
"Andover","0901301080",2017,"23","Construction",-1,"Number","Number of Employers",13
"Andover","0901301080",2017,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2017,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2017,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2017,"44-45","Retail Trade",-1,"Number","Annual Average Employment",14.67
"Andover","0901301080",2017,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",16626.27
"Andover","0901301080",2017,"44-45","Retail Trade",-1,"Number","Number of Employers",4
"Andover","0901301080",2017,"","Total - All Industries",-1,"Number","Annual Average Employment",362.25
"Andover","0901301080",2017,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",34391.5
"Andover","0901301080",2017,"","Total - All Industries",-1,"Number","Number of Employers",56
"Andover","0901301080",2017,"","Total Government",-1,"Number","Annual Average Employment",80.17
"Andover","0901301080",2017,"","Total Government",-1,"US Dollars","Annual Average Wage",42811.19
"Andover","0901301080",2017,"","Total Government",-1,"Number","Number of Employers",4
"Andover","0901301080",2017,"","Local/Municipal Government",1,"Number","Annual Average Employment",77.17
"Andover","0901301080",2017,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",42410.85
"Andover","0901301080",2017,"","Local/Municipal Government",1,"Number","Number of Employers",3
"Andover","0901301080",2017,"81","Other Services (except Public Administration)",2,"Number","Annual Average Employment",19.75
"Andover","0901301080",2017,"81","Other Services (except Public Administration)",2,"US Dollars","Annual Average Wage",23404.71
"Andover","0901301080",2017,"81","Other Services (except Public Administration)",2,"Number","Number of Employers",7
"Andover","0901301080",2017,"56","Administrative and Waste Services",3,"Number","Annual Average Employment",19.17
"Andover","0901301080",2017,"56","Administrative and Waste Services",3,"US Dollars","Annual Average Wage",29085.18
"Andover","0901301080",2017,"56","Administrative and Waste Services",3,"Number","Number of Employers",5
"Andover","0901301080",2018,"23","Construction",-1,"Number","Annual Average Employment",39.92
"Andover","0901301080",2018,"23","Construction",-1,"US Dollars","Annual Average Wage",51502.1
"Andover","0901301080",2018,"23","Construction",-1,"Number","Number of Employers",13
"Andover","0901301080",2018,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Andover","0901301080",2018,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Andover","0901301080",2018,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Andover","0901301080",2018,"44-45","Retail Trade",-1,"Number","Annual Average Employment",17.17
"Andover","0901301080",2018,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",17268.64
"Andover","0901301080",2018,"44-45","Retail Trade",-1,"Number","Number of Employers",4
"Andover","0901301080",2018,"","Total - All Industries",-1,"Number","Annual Average Employment",387
"Andover","0901301080",2018,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",34079.96
"Andover","0901301080",2018,"","Total - All Industries",-1,"Number","Number of Employers",56
"Andover","0901301080",2018,"","Total Government",-1,"Number","Annual Average Employment",87
"Andover","0901301080",2018,"","Total Government",-1,"US Dollars","Annual Average Wage",40160.49
"Andover","0901301080",2018,"","Total Government",-1,"Number","Number of Employers",4
"Andover","0901301080",2018,"","Local/Municipal Government",1,"Number","Annual Average Employment",84.5
"Andover","0901301080",2018,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",39901.93
"Andover","0901301080",2018,"","Local/Municipal Government",1,"Number","Number of Employers",3
"Andover","0901301080",2018,"81","Other Services (except Public Administration)",2,"Number","Annual Average Employment",22.33
"Andover","0901301080",2018,"81","Other Services (except Public Administration)",2,"US Dollars","Annual Average Wage",22120.61
"Andover","0901301080",2018,"81","Other Services (except Public Administration)",2,"Number","Number of Employers",7
"Andover","0901301080",2018,"56","Administrative and Waste Services",3,"Number","Annual Average Employment",18
"Andover","0901301080",2018,"56","Administrative and Waste Services",3,"US Dollars","Annual Average Wage",27304.89
"Andover","0901301080",2018,"56","Administrative and Waste Services",3,"Number","Number of Employers",7
"Ansonia","0900901220",2014,"23","Construction",-1,"Number","Annual Average Employment",115.17
"Ansonia","0900901220",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",46185.29
"Ansonia","0900901220",2014,"23","Construction",-1,"Number","Number of Employers",32
"Ansonia","0900901220",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",303.08
"Ansonia","0900901220",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",61250.15
"Ansonia","0900901220",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",20
"Ansonia","0900901220",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",757.67
"Ansonia","0900901220",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",26351.79
"Ansonia","0900901220",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",43
"Ansonia","0900901220",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",3371.25
"Ansonia","0900901220",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",38889.69
"Ansonia","0900901220",2014,"","Total - All Industries",-1,"Number","Number of Employers",307
"Ansonia","0900901220",2014,"","Total Government",-1,"Number","Annual Average Employment",734.42
"Ansonia","0900901220",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",50054.52
"Ansonia","0900901220",2014,"","Total Government",-1,"Number","Number of Employers",19
"Ansonia","0900901220",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",608.92
"Ansonia","0900901220",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",47591.12
"Ansonia","0900901220",2014,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Ansonia","0900901220",2014,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",442.58
"Ansonia","0900901220",2014,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",46079.5
"Ansonia","0900901220",2014,"62","Health Care and Social Assistance",2,"Number","Number of Employers",35
"Ansonia","0900901220",2014,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",402.5
"Ansonia","0900901220",2014,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",18339.16
"Ansonia","0900901220",2014,"72","Accommodation and Food Services",3,"Number","Number of Employers",26
"Ansonia","0900901220",2015,"23","Construction",-1,"Number","Annual Average Employment",115.08
"Ansonia","0900901220",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",49602.07
"Ansonia","0900901220",2015,"23","Construction",-1,"Number","Number of Employers",32
"Ansonia","0900901220",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",330.75
"Ansonia","0900901220",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",60541.17
"Ansonia","0900901220",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",20
"Ansonia","0900901220",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",754.33
"Ansonia","0900901220",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",27309.73
"Ansonia","0900901220",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",44
"Ansonia","0900901220",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",3399.08
"Ansonia","0900901220",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",39406.06
"Ansonia","0900901220",2015,"","Total - All Industries",-1,"Number","Number of Employers",330
"Ansonia","0900901220",2015,"","Total Government",-1,"Number","Annual Average Employment",721.08
"Ansonia","0900901220",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",52092.63
"Ansonia","0900901220",2015,"","Total Government",-1,"Number","Number of Employers",19
"Ansonia","0900901220",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",591.08
"Ansonia","0900901220",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",49445.87
"Ansonia","0900901220",2015,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Ansonia","0900901220",2015,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",469.75
"Ansonia","0900901220",2015,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",44150.04
"Ansonia","0900901220",2015,"62","Health Care and Social Assistance",2,"Number","Number of Employers",35
"Ansonia","0900901220",2015,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",376.5
"Ansonia","0900901220",2015,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",19957.48
"Ansonia","0900901220",2015,"72","Accommodation and Food Services",3,"Number","Number of Employers",28
"Ansonia","0900901220",2016,"23","Construction",-1,"Number","Annual Average Employment",112.17
"Ansonia","0900901220",2016,"23","Construction",-1,"US Dollars","Annual Average Wage",52359.68
"Ansonia","0900901220",2016,"23","Construction",-1,"Number","Number of Employers",28
"Ansonia","0900901220",2016,"31-33","Manufacturing",-1,"Number","Annual Average Employment",336.08
"Ansonia","0900901220",2016,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",61281.69
"Ansonia","0900901220",2016,"31-33","Manufacturing",-1,"Number","Number of Employers",20
"Ansonia","0900901220",2016,"44-45","Retail Trade",-1,"Number","Annual Average Employment",713.25
"Ansonia","0900901220",2016,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",28719.52
"Ansonia","0900901220",2016,"44-45","Retail Trade",-1,"Number","Number of Employers",48
"Ansonia","0900901220",2016,"","Total - All Industries",-1,"Number","Annual Average Employment",3280.83
"Ansonia","0900901220",2016,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",41145.25
"Ansonia","0900901220",2016,"","Total - All Industries",-1,"Number","Number of Employers",323
"Ansonia","0900901220",2016,"","Total Government",-1,"Number","Annual Average Employment",686.17
"Ansonia","0900901220",2016,"","Total Government",-1,"US Dollars","Annual Average Wage",55928.47
"Ansonia","0900901220",2016,"","Total Government",-1,"Number","Number of Employers",19
"Ansonia","0900901220",2016,"","Local/Municipal Government",1,"Number","Annual Average Employment",556.92
"Ansonia","0900901220",2016,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",53997.39
"Ansonia","0900901220",2016,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Ansonia","0900901220",2016,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",449.33
"Ansonia","0900901220",2016,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",44572.31
"Ansonia","0900901220",2016,"62","Health Care and Social Assistance",2,"Number","Number of Employers",32
"Ansonia","0900901220",2016,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",336
"Ansonia","0900901220",2016,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",22309.95
"Ansonia","0900901220",2016,"72","Accommodation and Food Services",3,"Number","Number of Employers",27
"Ansonia","0900901220",2017,"23","Construction",-1,"Number","Annual Average Employment",118.75
"Ansonia","0900901220",2017,"23","Construction",-1,"US Dollars","Annual Average Wage",54410.57
"Ansonia","0900901220",2017,"23","Construction",-1,"Number","Number of Employers",30
"Ansonia","0900901220",2017,"31-33","Manufacturing",-1,"Number","Annual Average Employment",344.25
"Ansonia","0900901220",2017,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",62675.56
"Ansonia","0900901220",2017,"31-33","Manufacturing",-1,"Number","Number of Employers",22
"Ansonia","0900901220",2017,"44-45","Retail Trade",-1,"Number","Annual Average Employment",782.42
"Ansonia","0900901220",2017,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",28406.15
"Ansonia","0900901220",2017,"44-45","Retail Trade",-1,"Number","Number of Employers",46
"Ansonia","0900901220",2017,"","Total - All Industries",-1,"Number","Annual Average Employment",3327.67
"Ansonia","0900901220",2017,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",40418.46
"Ansonia","0900901220",2017,"","Total - All Industries",-1,"Number","Number of Employers",333
"Ansonia","0900901220",2017,"","Total Government",-1,"Number","Annual Average Employment",675.58
"Ansonia","0900901220",2017,"","Total Government",-1,"US Dollars","Annual Average Wage",53744.79
"Ansonia","0900901220",2017,"","Total Government",-1,"Number","Number of Employers",19
"Ansonia","0900901220",2017,"","Local/Municipal Government",1,"Number","Annual Average Employment",545.75
"Ansonia","0900901220",2017,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",54530.99
"Ansonia","0900901220",2017,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Ansonia","0900901220",2017,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",412.42
"Ansonia","0900901220",2017,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",46139.76
"Ansonia","0900901220",2017,"62","Health Care and Social Assistance",2,"Number","Number of Employers",30
"Ansonia","0900901220",2017,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",364.75
"Ansonia","0900901220",2017,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",23554.83
"Ansonia","0900901220",2017,"72","Accommodation and Food Services",3,"Number","Number of Employers",28
"Ansonia","0900901220",2018,"23","Construction",-1,"Number","Annual Average Employment",113.5
"Ansonia","0900901220",2018,"23","Construction",-1,"US Dollars","Annual Average Wage",55157.87
"Ansonia","0900901220",2018,"23","Construction",-1,"Number","Number of Employers",35
"Ansonia","0900901220",2018,"31-33","Manufacturing",-1,"Number","Annual Average Employment",334.42
"Ansonia","0900901220",2018,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",61355.36
"Ansonia","0900901220",2018,"31-33","Manufacturing",-1,"Number","Number of Employers",20
"Ansonia","0900901220",2018,"44-45","Retail Trade",-1,"Number","Annual Average Employment",801.08
"Ansonia","0900901220",2018,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",28117.31
"Ansonia","0900901220",2018,"44-45","Retail Trade",-1,"Number","Number of Employers",45
"Ansonia","0900901220",2018,"","Total - All Industries",-1,"Number","Annual Average Employment",3420.83
"Ansonia","0900901220",2018,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",40384.19
"Ansonia","0900901220",2018,"","Total - All Industries",-1,"Number","Number of Employers",350
"Ansonia","0900901220",2018,"","Total Government",-1,"Number","Annual Average Employment",663.5
"Ansonia","0900901220",2018,"","Total Government",-1,"US Dollars","Annual Average Wage",53574.81
"Ansonia","0900901220",2018,"","Total Government",-1,"Number","Number of Employers",18
"Ansonia","0900901220",2018,"","Local/Municipal Government",1,"Number","Annual Average Employment",537.25
"Ansonia","0900901220",2018,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",56007.93
"Ansonia","0900901220",2018,"","Local/Municipal Government",1,"Number","Number of Employers",14
"Ansonia","0900901220",2018,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",441.33
"Ansonia","0900901220",2018,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",49261.33
"Ansonia","0900901220",2018,"62","Health Care and Social Assistance",2,"Number","Number of Employers",36
"Ansonia","0900901220",2018,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",418.17
"Ansonia","0900901220",2018,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",24405.18
"Ansonia","0900901220",2018,"72","Accommodation and Food Services",3,"Number","Number of Employers",28
"Ashford","0901501430",2014,"23","Construction",-1,"Number","Annual Average Employment",29.75
"Ashford","0901501430",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",37754.92
"Ashford","0901501430",2014,"23","Construction",-1,"Number","Number of Employers",8
"Ashford","0901501430",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",32.08
"Ashford","0901501430",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",41639.97
"Ashford","0901501430",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",5
"Ashford","0901501430",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",40.67
"Ashford","0901501430",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",40729.43
"Ashford","0901501430",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",6
"Ashford","0901501430",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",570
"Ashford","0901501430",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",35680.32
"Ashford","0901501430",2014,"","Total - All Industries",-1,"Number","Number of Employers",80
"Ashford","0901501430",2014,"","Total Government",-1,"Number","Annual Average Employment",161.67
"Ashford","0901501430",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",39616.52
"Ashford","0901501430",2014,"","Total Government",-1,"Number","Number of Employers",13
"Ashford","0901501430",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",152.5
"Ashford","0901501430",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",38702.97
"Ashford","0901501430",2014,"","Local/Municipal Government",1,"Number","Number of Employers",11
"Ashford","0901501430",2014,"56","Administrative and Waste Services",2,"Number","Annual Average Employment",48.17
"Ashford","0901501430",2014,"56","Administrative and Waste Services",2,"US Dollars","Annual Average Wage",15203.13
"Ashford","0901501430",2014,"56","Administrative and Waste Services",2,"Number","Number of Employers",8
"Ashford","0901501430",2014,"81","Other Services (except Public Administration)",3,"Number","Annual Average Employment",36.42
"Ashford","0901501430",2014,"81","Other Services (except Public Administration)",3,"US Dollars","Annual Average Wage",12572.76
"Ashford","0901501430",2014,"81","Other Services (except Public Administration)",3,"Number","Number of Employers",11
"Ashford","0901501430",2015,"23","Construction",-1,"Number","Annual Average Employment",36.75
"Ashford","0901501430",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",42123.84
"Ashford","0901501430",2015,"23","Construction",-1,"Number","Number of Employers",11
"Ashford","0901501430",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",27.25
"Ashford","0901501430",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",39727.71
"Ashford","0901501430",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",5
"Ashford","0901501430",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",44.83
"Ashford","0901501430",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",32544.69
"Ashford","0901501430",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",7
"Ashford","0901501430",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",558.42
"Ashford","0901501430",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",36538.15
"Ashford","0901501430",2015,"","Total - All Industries",-1,"Number","Number of Employers",85
"Ashford","0901501430",2015,"","Total Government",-1,"Number","Annual Average Employment",158.92
"Ashford","0901501430",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",42469.55
"Ashford","0901501430",2015,"","Total Government",-1,"Number","Number of Employers",13
"Ashford","0901501430",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",149.92
"Ashford","0901501430",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",41769.73
"Ashford","0901501430",2015,"","Local/Municipal Government",1,"Number","Number of Employers",11
"Ashford","0901501430",2015,"81","Other Services (except Public Administration)",2,"Number","Annual Average Employment",34.83
"Ashford","0901501430",2015,"81","Other Services (except Public Administration)",2,"US Dollars","Annual Average Wage",13297.61
"Ashford","0901501430",2015,"81","Other Services (except Public Administration)",2,"Number","Number of Employers",11
"Ashford","0901501430",2015,"54","Professional, Scientific, and Technical Services",3,"Number","Annual Average Employment",16
"Ashford","0901501430",2015,"54","Professional, Scientific, and Technical Services",3,"US Dollars","Annual Average Wage",39391.75
"Ashford","0901501430",2015,"54","Professional, Scientific, and Technical Services",3,"Number","Number of Employers",7
"Ashford","0901501430",2016,"23","Construction",-1,"Number","Annual Average Employment",40.92
"Ashford","0901501430",2016,"23","Construction",-1,"US Dollars","Annual Average Wage",37875.81
"Ashford","0901501430",2016,"23","Construction",-1,"Number","Number of Employers",13
"Ashford","0901501430",2016,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Ashford","0901501430",2016,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Ashford","0901501430",2016,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Ashford","0901501430",2016,"44-45","Retail Trade",-1,"Number","Annual Average Employment",42.58
"Ashford","0901501430",2016,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",29148.45
"Ashford","0901501430",2016,"44-45","Retail Trade",-1,"Number","Number of Employers",7
"Ashford","0901501430",2016,"","Total - All Industries",-1,"Number","Annual Average Employment",557.25
"Ashford","0901501430",2016,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",37115.92
"Ashford","0901501430",2016,"","Total - All Industries",-1,"Number","Number of Employers",88
"Ashford","0901501430",2016,"","Total Government",-1,"Number","Annual Average Employment",157.25
"Ashford","0901501430",2016,"","Total Government",-1,"US Dollars","Annual Average Wage",42740.34
"Ashford","0901501430",2016,"","Total Government",-1,"Number","Number of Employers",13
"Ashford","0901501430",2016,"","Local/Municipal Government",1,"Number","Annual Average Employment",148.75
"Ashford","0901501430",2016,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",41968.5
"Ashford","0901501430",2016,"","Local/Municipal Government",1,"Number","Number of Employers",11
"Ashford","0901501430",2016,"56","Administrative and Waste Services",2,"Number","Annual Average Employment",50.58
"Ashford","0901501430",2016,"56","Administrative and Waste Services",2,"US Dollars","Annual Average Wage",16504.29
"Ashford","0901501430",2016,"56","Administrative and Waste Services",2,"Number","Number of Employers",7
"Ashford","0901501430",2016,"81","Other Services (except Public Administration)",3,"Number","Annual Average Employment",50.58
